,TITLE,LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,CITY,LA_N,RA_N,BY_N,PRICE_N
289, House for Sale,"Dhapakhel, Lalitpur",Rs. 4.3 Cr ,6.0 aana,13 Feet,North,3.0,6.0,4.0,2058 B.S,"['Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Boring Water', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,6.0,13,2058,43000000.0
290,Furnished House for Rent,"Dhapasi, Kathmandu",Rs. 2 Lac/m,16.0 aana,14 Feet,East,2.0,3.0,5.0,2070 B.S,"['Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Servant Quarter', 'Fridge', 'Sofa', 'Water Purifier', 'Washing Machine', 'Modular Kitchen']", Kathmandu,16.0,14,2070,2.0
291,Bungalow for Rent,"Dhapasi, Kathmandu",Rs. 2 Lac/m,32.0 aana,14 Feet,East,2.0,4.0,3.0,2070 B.S,"['Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Sofa', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water']", Kathmandu,32.0,14,2070,2.0
292,4 BHK House for Rent,"Maharajgunj, Kathmandu",Rs. 1.5 Lac/m,9.0 aana,13 Feet,East,2.0,4.0,3.0,2058 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drinking Water', 'Drainage', 'Parking', 'Reserve Tank', 'Terrace', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,9.0,13,2058,1.5
294, House for Sale,"Imadol, Lalitpur",Rs. 3.1 Cr ,3.1 aana,13 Feet,East,2.5,6.0,5.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bathroom', 'Modular Kitchen', 'Living Room']", Lalitpur,3.1,13,2076,31000000.0
295, House for Sale,"Imadol, Lalitpur",Rs. 4.5 Cr ,6.3 aana,13 Feet,South,3.0,7.0,7.0,2073 B.S,"['Earthquake Resistant', 'Marbel', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Drainage', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Lalitpur,6.3,13,2073,45000000.0
296, House for Sale,"Imadol, Lalitpur",Rs. 2.65 Cr ,3.0 aana,13 Feet,South,2.5,5.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bathroom']", Lalitpur,3.0,13,2076,26500000.0
297, House for Sale,"Imadol, Lalitpur",Rs. 2.95 Cr ,3.2 aana,13 Feet,South,2.5,5.0,4.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room']", Lalitpur,3.2,13,2072,29500000.0
298,Bungalow House for Sale,"Greenland Chowk, Kathmandu",Rs. 3.75 Cr ,5.0 aana,20 Feet,South-East,2.0,5.0,4.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']", Kathmandu,5.0,20,2072,37500000.0
299,Bungalow House for Sale,"Bhaisepati, Lalitpur",Rs. 15 Cr ,10.0 aana,13 Feet,East,2.5,5.0,4.0,2072 B.S,"['Swimming Pool', 'Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Reserve Tank', 'Boring Water', 'Terrace']", Lalitpur,10.0,13,2072,150000000.0
300, Modern house for Sale,"Italitar, Kathmandu",Rs. 10.5 Cr ,11.0 aana,20 Feet,North-East,2.5,5.0,6.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Boring Water', 'Power Backup', 'Dining Room']", Kathmandu,11.0,20,2075,105000000.0
301,4 BHK House for Sale,"Tikathali, Lalitpur",Rs. 2.55 Cr ,3.0 aana,13 Feet,South,2.5,4.0,4.0,2058 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Modular Kitchen']", Lalitpur,3.0,13,2058,25500000.0
302, House for Sale,"Sanagaun, Lalitpur",Rs. 2.25 Cr ,2.3 aana,20 Feet,South,2.5,5.0,3.0,2068 B.S,"['Earthquake Resistant', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,2.3,20,2068,22500000.0
303,5 BHK house for Sale at Balkumari,"Balkumari, Lalitpur",Rs. 10.5 Cr ,12.0 aana,20 Feet,North,2.5,6.0,5.0,2058 B.S,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Living Room', 'Modular Kitchen', 'Terrace']", Lalitpur,12.0,20,2058,105000000.0
305, House for Sale,"Tikathali, Lalitpur",Rs. 2.85 Cr ,3.0 aana,13 Feet,East,2.5,9.0,4.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,3.0,13,2072,28500000.0
308,4 BHK House for Sale,"Maharajgunj, Kathmandu",Rs. 12.5 Cr ,10.0 aana,20 Feet,East,2.5,4.0,4.0,2058 B.S,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,10.0,20,2058,125000000.0
309, House for Sale,"Deuwa Chowk, Kathmandu",Rs. 6 Cr ,6.0 aana,13 Feet,West,2.5,8.0,5.0,2068 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Bed Room']", Kathmandu,6.0,13,2068,60000000.0
310, House for Sale,"Kageshwori, Kathmandu",Rs. 1.65 Cr ,2.2 aana,13 Feet,East,2.0,3.0,3.0,2070 B.S,"['Earthquake Resistant', 'Drinking Water', 'Marbel', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Bed Room']", Kathmandu,2.2,13,2070,16500000.0
311, House for Sale,"Budhanilkantha, Kathmandu",Rs. 3.35 Cr ,4.0 aana,13 Feet,North,3.0,10.0,5.0,2058 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Terrace']", Kathmandu,4.0,13,2058,33500000.0
312, House for Sale in Suryadarshan Height,"SuryadaRs.han Height, Kathmandu",Rs. 3.5 Cr ,5.0 aana,11 Feet,South-East,3.5,6.0,4.0,2075 B.S,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Attic', 'Water Well', 'Modular Kitchen']", Kathmandu,5.0,11,2075,35000000.0
313, House for Sale,"Wasik, Kathmandu",Rs. 2.75 Cr ,5.0 aana,13 Feet,West,2.0,9.0,4.0,2070 B.S,"['Earthquake Resistant', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Living Room', 'Modular Kitchen', 'Bed Room', 'Bathroom']", Kathmandu,5.0,13,2070,27500000.0
314, House for Rent,"Bhaisepati, Lalitpur",Rs. 1.3 Lac/m,13.0 aana,14 Feet,East,2.5,7.0,5.0,2070 B.S,"['Earthquake Resistant', 'Drainage', 'Power Backup', 'Garden', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Power Backup', 'Dining Room', 'Bathroom', 'Living Room']", Lalitpur,13.0,14,2070,1.3
317, House for Sale,"Bojepokhari, Lalitpur",Rs. 2.25 Cr ,3.0 aana,13 Feet,North,2.5,7.0,3.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,3.0,13,2072,22500000.0
318, House for Sale,"Imadol, Lalitpur",Rs. 2.5 Cr ,3.0 aana,13 Feet,East,3.0,7.0,6.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Lalitpur,3.0,13,2076,25000000.0
319,4 BHK House for Sale,"Sanagaun, Lalitpur",Rs. 2.8 Cr ,5.3 aana,15 Feet,East,3.0,6.0,6.0,2073 B.S,"['Earthquake Resistant', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Drainage', 'Parquet', 'Marbel', 'Power Backup', 'Dining Room']", Lalitpur,5.3,15,2073,28000000.0
320, House for Sale,"Imadol, Lalitpur",Rs. 2.6 Cr ,2.2 aana,13 Feet,South,3.0,5.0,3.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,2.2,13,2076,26000000.0
321,4 BHK House for Sale,"Imadol, Lalitpur",Rs. 2.8 Cr ,3.0 aana,13 Feet,West,3.0,4.0,4.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,3.0,13,2072,28000000.0
322, House for Sale,"Imadol, Lalitpur",Rs. 2.7 Cr ,3.2 aana,13 Feet,West,2.5,5.0,4.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Lalitpur,3.2,13,2072,27000000.0
323, House for Sale,"Old Baneshwor, Kathmandu",Rs. 2.9 Cr ,3.2 aana,6 Feet,South,4.5,22.0,8.0,2072 B.S,"['Drinking Water', 'Balcony', 'Drainage', 'Marbel', 'Earthquake Resistant', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,3.2,6,2072,29000000.0
324, House for Sale,"Imadol, Lalitpur",Rs. 3.25 Cr ,3.3 aana,16 Feet,North-West,3.0,5.0,5.0,2075 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,3.3,16,2075,32500000.0
325,3 BHK House for Sale,"Harisiddhi, Lalitpur",Rs. 2.7 Cr ,3.0 aana,20 Feet,South,2.5,3.0,4.0,2068 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room']", Lalitpur,3.0,20,2068,27000000.0
326,4 BHK House for Sale,"Deuwa chowk, Kathmandu",Rs. 6.5 Cr ,7.0 aana,14 Feet,South,2.5,4.0,5.0,2065 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Kathmandu,7.0,14,2065,65000000.0
327, House for Sale,"Imadol, Lalitpur",Rs. 2.75 Cr ,3.0 aana,13 Feet,South-West,3.5,7.0,4.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Lalitpur,3.0,13,2076,27500000.0
328, Flat system house for Sale,"Thamel, Kathmandu",Rs. 2.3 Cr ,2.3 aana,10 Feet,East,3.0,5.0,4.0,2076 B.S,"['Drinking Water', 'Balcony', 'Parking', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,2.3,10,2076,23000000.0
329,Bungalow House for Sale,"Budhanilkantha, Kathmandu",Rs. 5.75 Cr ,5.2 aana,13 Feet,South-East,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Power Backup', 'Balcony', 'Terrace', 'Power Backup', 'Bathroom', 'Living Room']", Kathmandu,5.2,13,2076,57500000.0
330, House for Sale,"Sitapaila, Kathmandu",Rs. 5 Cr ,4.0 aana,13 Feet,West,2.5,4.0,4.0,2068 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom']", Kathmandu,4.0,13,2068,50000000.0
331,3 BHK House for Rent,"Sukedhara, Kathmandu",Rs. 1 Lac/m,6.0 aana,13 Feet,East,2.0,3.0,3.0,2075 B.S,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,6.0,13,2075,1.0
335, House for Sale in land price ,"Mid Baneshwor, Kathmandu",Rs. 1.75 Cr ,3.0 aana,14 Feet,South,2.5,5.0,5.0,2079 B.S,"['Marbel', 'Parquet', 'Power Backup', 'Parking', 'Garden', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,3.0,14,2079,17500000.0
336,House on sale at Budhanilkantha ,"Narayanthan , Kathmandu",Rs. 5.5 Cr ,5.0 aana,10 Feet,East,2.5,7.0,4.0,2079 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Reserve Tank', 'Lawn', 'Terrace', 'Water Well', 'Internet']", Kathmandu,5.0,10,2079,55000000.0
339, House for Sale,"Hepali Height, Kathmandu",Rs. 4.65 Cr ,4.3 aana,13 Feet,West,3.0,6.0,6.0,2075 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Living Room', 'Bathroom']", Kathmandu,4.3,13,2075,46500000.0
340, House for Sale,"Sanepa, Lalitpur",Rs. 3.5 Cr ,2.5 aana,13 Feet,South-East,3.0,3.0,2.0,2079 B.S,"['Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Reserve Tank', 'Servant Quarter', 'Earthquake Resistant', 'Dining Room', 'Bed Room']", Lalitpur,2.5,13,2079,35000000.0
341, Flat system House for Sale,"Old Baneshwor, Kathmandu",Rs. 2.8 Cr ,3.2 aana,6 Feet,East,6.0,22.0,8.0,2060 B.S,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Modular Kitchen', 'Bathroom', 'Bed Room']", Kathmandu,3.2,6,2060,28000000.0
342,4 BHK House in Colony for Sale at  Rupandehi ,"Omsatiya, Rupandehi",Rs. 2.2 Cr ,0.12 kattha,23 Feet,East,3.0,4.0,4.0,2079 B.S,"['Earthquake Resistant', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Lawn', 'Terrace', 'Modular Kitchen', 'Closet', 'Gym', 'Swimming Pool']", Rupandehi,0.12,23,2079,22000000.0
343,Under construction House for Sale,"Omsatiya, Rupandehi",Rs. 2.2 Cr ,0.12 kattha,23 Feet,East,2.5,4.0,4.0,2079 B.S,"['Earthquake Resistant', 'Parquet', 'CC Camera', 'Drainage', 'Garden', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Modular Kitchen', 'Closet']", Rupandehi,0.12,23,2079,22000000.0
344, House for Sale,"Baluwatar, Kathmandu",Rs. 7.6 Cr ,6.0 aana,10 Feet,South,3.5,8.0,10.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'CC Camera', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank']", Kathmandu,6.0,10,2076,76000000.0
345,Bungalow House for Sale,"Manamaiju, Kathmandu",Rs. 7.35 Cr ,9.1 aana,13 Feet,South-East,3.5,4.0,3.0,2070 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Bathtub']", Kathmandu,9.1,13,2070,73500000.0
346, House for Rent,"Bhaisepati, Lalitpur",Rs. 1.5 Lac/m,21.0 aana,20 Feet,West,2.5,5.0,5.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Garden', 'Parking', 'Balcony', 'Terrace', 'Bed Room', 'Bathroom', 'Living Room', 'Dining Room', 'Modular Kitchen']", Lalitpur,21.0,20,2076,1.5
347,Newly built house on sale ,"Greenhill City, Kathmandu",Rs. 2.3 Cr ,3.0 aana,13 Feet,South-East,2.5,5.0,3.0,2069 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Modular Kitchen']", Kathmandu,3.0,13,2069,23000000.0
348,Bungalow  for Sale,"Budhanilkantha, Kathmandu",Rs. 3.9 Cr ,6.0 aana,14 Feet,South-West,2.5,6.0,6.0,2060 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Dining Room', 'Bathroom', 'Bed Room', 'Living Room', 'Modular Kitchen']", Kathmandu,6.0,14,2060,39000000.0
349, House for Rent,"Tokha, Kathmandu","Rs. 75,000 /m",0.0 aana,20 Feet,South,2.5,6.0,5.0,2075 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Power Backup', 'Modular Kitchen', 'Living Room', 'Bathroom', 'Bed Room']", Kathmandu,0.0,20,2075,75000.0
350, House for Sale,"Sainbu, Lalitpur",Rs. 3.5 Cr ,4.0 aana,18 Feet,South-East,3.0,7.0,4.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room']", Lalitpur,4.0,18,2075,35000000.0
351, House for Sale,"Thali, Kathmandu",Rs. 1.6 Cr,2.2 aana,12 Feet,East,2.5,5.0,3.0,2060 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Power Backup', 'Parking', 'Balcony', 'Reserve Tank', 'Terrace', 'Boring Water', 'Water Purifier', 'Modular Kitchen']", Kathmandu,2.2,12,2060,16000000.0
352,Bungalow House for Sale,"Balkot, Bhaktapur",Rs. 2.8 Cr ,3.3 aana,13 Feet,West,3.0,5.0,5.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'CC Camera', 'Power Backup', 'Parking', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace', 'Water Well']", Bhaktapur,3.3,13,2072,28000000.0
353, House for Sale,"Budhanilkantha, Kathmandu",Rs. 4 Cr ,4.0 aana,16 Feet,West,3.0,10.0,4.0,2076 B.S,"['Earthquake Resistant', 'Drainage', 'Power Backup', 'Parking', 'Balcony', 'Drinking Water', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,4.0,16,2076,40000000.0
354, House for Sale,"Pasikot, Kathmandu",Rs. 2.25 Cr ,3.2 aana,20 Feet,South,2.5,4.0,3.0,2070 B.S,"['Earthquake Resistant', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,3.2,20,2070,22500000.0
355,4 BHK House for Sale,"Bhaisepati, Lalitpur",Rs. 2.9 Cr ,4.0 aana,15 Feet,South,2.5,4.0,3.0,2076 B.S,"['Balcony', 'Drinking Water', 'Earthquake Resistant', 'Drainage', 'Power Backup', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,4.0,15,2076,29000000.0
356, House for Rent,"Hepali Height, Kathmandu",Rs. 2 Lac/m,32.0 aana,14 Feet,South,2.5,5.0,5.0,2079 B.S,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Dining Room', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,32.0,14,2079,2.0
357,House on sale ,"Yogikuti, Rupandehi",Rs. 90 Lac ,0.5 kattha,10 Feet,North,1.5,2.0,1.0,2060 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'TV', 'Internet', 'Bed Room', 'Bathroom', 'Living Room']", Rupandehi,0.5,10,2060,90.0
358,4 BHK House for Rent,"Balkumari, Lalitpur",Rs. 1.1 Lac/m,4.2 aana,16 Feet,South-East,2.0,4.0,4.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Power Backup', 'Balcony', 'Drinking Water', 'Parking', 'Modular Kitchen', 'Bed Room', 'Dining Room']", Lalitpur,4.2,16,2075,1.1
359, House for Sale,"Jyotinagar, Kathmandu",Rs. 2.65 Cr ,3.0 aana,20 Feet,South,2.0,4.0,2.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,3.0,20,2075,26500000.0
360,Flat system house for sale in land price at Bagdurbar,"Bagdurbar, Kathmandu",Rs. 3 Cr,4.0 aana,13 Feet,South,4.5,6.0,6.0,2060 B.S,"['Drinking Water', 'Drainage', 'Earthquake Resistant', 'Bed Room', 'Dining Room', 'Bathroom', 'Living Room', 'Modular Kitchen', 'Power Backup', 'Balcony']", Kathmandu,4.0,13,2060,30000000.0
361,4 BHK House for Rent,"Chappal karkhana, Kathmandu",Rs. 4 Lac/m,32.0 aana,10 Meter,East,2.5,4.0,4.0,2072 B.S,"['Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom']", Kathmandu,32.0,32.8084,2072,4.0
362, House for Sale in Pepsicola ,"Pepsicola, Kathmandu",Rs. 5.55 Cr ,6.2 aana,20 Feet,South,3.5,6.0,6.0,2078 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Bed Room', 'Bathroom', 'Living Room', 'Prayer Room', 'Modular Kitchen']", Kathmandu,6.2,20,2078,55500000.0
363,Bungalow House for Sale,"Dillibazar, Kathmandu",Rs. 14 Cr ,14.0 aana,15 Feet,South,4.5,28.0,7.0,2058 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'CC Camera', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Lawn', 'Terrace']", Kathmandu,14.0,15,2058,140000000.0
364,House for Sale in Babarmahal,"Bijulibajar, Kathmandu",Rs. 8.5 Cr ,6.0 aana,12 Feet,South-East,4.0,8.0,6.0,2070 B.S,"['Marbel', 'Drainage', 'Power Backup', 'Parking', 'Drinking Water', 'Balcony', 'Reserve Tank', 'Terrace', 'Water Well', 'Attic', 'Modular Kitchen']", Kathmandu,6.0,12,2070,85000000.0
367,4 BHK House for Rent,"Pasikot, Kathmandu",Rs. 1.65 Lac/m,22.0 aana,25 Feet,East,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Kathmandu,22.0,25,2076,1.65
368, House for Sale,"Sundarbasti, Kathmandu",Rs. 3.38 Cr ,3.2 aana,13 Feet,East,2.5,4.0,3.0,2069 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Drinking Water', 'Power Backup', 'Bed Room', 'Bathroom', 'Modular Kitchen']", Kathmandu,3.2,13,2069,33800000.0
369, House for Rent,"Bhaisepati, Lalitpur",Rs. 2 Lac/m,30.0 aana,20 Feet,South,2.5,5.0,5.0,2060 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Power Backup', 'Dining Room']", Lalitpur,30.0,20,2060,2.0
370, House for Sale,"Pepsicola, Kathmandu",Rs. 2.9 Cr ,5.0 aana,13 Feet,North,2.5,5.0,5.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Bed Room', 'Bathroom', 'Living Room', 'Prayer Room']", Kathmandu,5.0,13,2075,29000000.0
371, House for Sale,"Harisiddhi, Lalitpur",Rs. 2.6 Cr ,3.2 aana,13 Feet,East,2.5,5.0,3.0,2075 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Drinking Water', 'Reserve Tank', 'Terrace', 'Parking', 'Internet', 'Bed Room', 'Bathroom', 'Living Room']", Lalitpur,3.2,13,2075,26000000.0
372, House for Sale,"Ghattekulo, Kathmandu",Rs. 3.25 Cr ,3.2 aana,18 Feet,East,3.5,6.0,3.0,2060 B.S,"['Earthquake Resistant', 'Drainage', 'Drinking Water', 'Power Backup', 'Dining Room', 'Living Room', 'Bathroom', 'Modular Kitchen', 'Bed Room']", Kathmandu,3.2,18,2060,32500000.0
373, House for Rent,"Naxal, Kathmandu",Rs. 1.65 Lac/m,7.2 aana,12 Feet,South,3.5,9.0,3.0,2072 B.S,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Drainage', 'Parking', 'Balcony', 'Power Backup', 'Dining Room', 'Bed Room', 'Bathroom', 'Modular Kitchen']", Kathmandu,7.2,12,2072,1.65
374, House for Sale,"Bhangal , Kathmandu",Rs. 4.5 Cr ,5.1 aana,13 Feet,South-West,3.0,7.0,6.0,2066 B.S,"['Marbel', 'Parquet', 'Drainage', 'Parking', 'Drinking Water', 'Power Backup', 'Bathroom', 'Bed Room', 'Modular Kitchen', 'Living Room']", Kathmandu,5.1,13,2066,45000000.0
375,4 BHK House for Sale,"Nakhudole, Lalitpur",Rs. 1.55 Cr ,4.2 aana,4 Feet,South,2.0,4.0,2.0,2072 B.S,"['Earthquake Resistant', 'Parking', 'Power Backup', 'Parquet', 'Drainage', 'Marbel', 'Drinking Water', 'Bed Room', 'Bathroom', 'Living Room', 'Modular Kitchen']", Lalitpur,4.2,4,2072,15500000.0
377, House for Sale,"Baluwakhani, Kathmandu",Rs. 2.75 Cr ,3.2 aana,10 Feet,West,2.5,6.0,4.0,2068 B.S,"['Earthquake Resistant', 'Marbel', 'Drainage', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Bathtub', 'Power Backup', 'Dining Room', 'Bed Room']", Kathmandu,3.2,10,2068,27500000.0
379,4 BHK House for Rent,"Chapali, Kathmandu",Rs. 2.5 Lac/m,32.0 aana,16 Feet,North,2.5,4.0,4.0,2076 B.S,"['Earthquake Resistant', 'Parquet', 'Marbel', 'Drainage', 'Garden', 'Parking', 'Drinking Water', 'Balcony', 'Terrace', 'Servant Quarter', 'Power Backup']", Kathmandu,32.0,16,2076,2.5
